Price,Bedrooms,Bathrooms,Garage,Furnished,Amenity_Annexe (Boys' quarters),Amenity_Garage,Amenity_Garden,Amenity_Generator,Amenity_Refrigerator,Amenity_Swimming pool,Amenity_Pets allowed,Amenity_Open car spaces,Amenity_Fans,Amenity_Water reservoir,Amenity_Microwave,Amenity_Internet,Amenity_Security service,Amenity_Secure parking,Amenity_Washing machine,Amenity_Air conditioning,Amenity_Cooker,Amenity_Dstv,Amenity_Roof terrace,LogPrice,comfortFeatures,utilityFeatures,connectivityFeatures,luxuryFeatures,exSpace
54144.0,2,2,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,10.899402442965895,6,4,2,1,0
23205.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.052123051675276,0,0,0,0,0
2370.0,2,2,2,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,7.7706452341291765,5,4,2,2,1
46409.0,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10.745248684922709,3,0,0,1,1
38674.0,2,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,10.562922818610538,5,0,0,1,0
38674.0,5,6,9,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,10.562922818610538,3,2,1,2,1
15470.0,4,4,6,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,9.646657943567112,2,3,1,2,1
2011.0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,7.606387389772652,5,4,2,3,0
34033.0,3,3,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,10.435085921117388,4,1,0,1,1
32486.0,4,5,4,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,10.38856450627934,6,4,1,1,1
2320.0,2,2,2,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,7.749322464660356,5,4,2,3,0
46409.0,4,4,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,10.745248684922709,6,3,0,1,0
77349.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25608292766942,0,0,0,0,0
24000.0,5,5,6,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,10.085809109330082,6,3,0,1,0
15000.0,5,4,8,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,9.615805480084347,2,1,0,1,1
15470.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.646657943567112,0,0,0,0,0
46409.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.745248684922709,0,0,0,0,0
27846.0,3,4,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,10.23444460846923,5,3,2,1,0
20111.0,3,4,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,9.909022208034603,2,1,0,0,1
8000.0,3,2,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,8.987196820661973,6,3,1,1,0
27846.0,5,6,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,10.23444460846923,3,1,0,1,0
12376.0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,9.423514392252901,5,2,1,0,0
10829.0,3,2,2,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,9.28998299962838,3,3,0,1,0
9282.0,2,2,2,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,9.135832319801121,3,3,0,1,0
20111.0,3,3,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,9.909022208034603,6,2,1,0,0
13500.0,2,3,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,9.51044496442652,5,3,2,1,0
21658.0,4,4,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,9.983130180188324,3,2,0,1,1
26299.0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,10.177286194629282,5,4,2,1,0
46409.0,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.745248684922709,0,0,0,0,0
21658.0,2,2,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,9.983130180188324,6,3,1,1,0
20111.0,3,3,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,9.909022208034603,6,4,2,2,0
38674.0,4,5,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,10.562922818610538,6,4,2,0,0
2785.0,5,6,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,7.932003152361385,6,3,2,1,0
23205.0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,10.052123051675276,5,4,2,3,0
40221.0,2,2,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,10.60214452626967,5,3,2,1,0
23205.0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,10.052123051675276,6,3,0,2,0
22494.0,4,6,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,10.021003885963967,2,1,0,0,1
